品类,种类,类别编码,编号,品名,规格,单位,数量,进价,合计,零售价,合计,差价,毛利率
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",20.00,20.00,100.00%
生活用品,洗护,1413,750,护舒宝瞬洁贴身日用夜用284mm,5+1片,包,1,0.00,0.00,6.50,6.50,6.50,100%
"  ","  ","  ",813,ABC丝薄夜用棉柔,8片,包,1,0.00,0.00,11.00,11.00,11.00,100%
"  ","  ","  ",500608,蓝月亮薰衣草2kg,2kg,瓶,1,0.00,0.00,40.00,40.00,40.00,100%
"  ","  ","  ",500384,舒克专业清新牙膏劲爽薄荷,120g,盒,1,0.00,0.00,17.00,17.00,17.00,100%
"  ","  ","  ",781,舒客柔丝护龈牙刷,1只,只,1,0.00,0.00,6.50,6.50,6.50,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",81.00,81.00,100.00%
生活用品,纸巾,1414,500466,维达小包纸巾,1包,包,1,0.00,0.00,1.00,1.00,1.00,100%
"  ","  ","  ",837,抽取式维达纸面巾," 450抽",包,2,0.00,0.00,13.50,27.00,27.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",28.00,28.00,100.00%
生活用品,寻宝,1416,1305,打火机,1个,个,1,0.00,0.00,1.00,1.00,1.00,100%
"  ","  ","  ",1038,佳欣,34*75,条,1,0.00,0.00,13.00,13.00,13.00,100%
"  ","  ","  ",1304,亿兆防风打火机,1个,个,2,0.00,0.00,2.00,4.00,4.00,100%
"  ","  ","  ",986,502瞬间超力胶,3ml,只,1,0.00,0.00,2.00,2.00,2.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",20.00,20.00,100.00%
香烟,香烟,1701,1131,硬经典,1包,包,1,10.02,10.02,12.00,12.00,1.98,0.17%
"  ","  ","  ",1166,黄鹤楼硬大彩,1包,包,1,0.00,0.00,28.00,28.00,28.00,100%
"  ","  ","  ",1143,盒玉溪香烟,1包,包,1,0.00,0.00,21.00,21.00,21.00,100%
"  ","  ","  ",1136,经典1906,1包,包,2,15.05,30.10,17.00,34.00,3.90,0.11%
"  ","  ","  ",1128,极盖蓝芙蓉王,1包,包,4,0.00,0.00,35.00,140.00,140.00,100%
"  ","  ","  ",500656,忠告黑冰,20,盒,1,0.00,0.00,25.00,25.00,25.00,100%
"  ","  ","  ",1126,精品二代白沙包装,1包,包,2,9.33,18.66,11.00,22.00,3.34,0.15%
"  ","  ","  ",1162,软盒红玫王,1包,包,1,10.28,10.28,12.00,12.00,1.72,0.14%
"  ","  ","  ",1129,金装芙蓉王黄,1包,包,1,21.84,21.84,25.00,25.00,3.16,0.13%
"  ","  ","  ",1156,黄金叶(硬),1包,包,2,0.00,0.00,11.00,22.00,22.00,100%
"  ","  ","  ",1155,南京金陵十二钗,1包,包,1,24.38,24.38,28.00,28.00,3.62,0.13%
"  ","  ","  ",1308,蓝利群,1盒,盒,1,0.00,0.00,16.00,16.00,16.00,100%
"  ","  ","  ",1148,硬盒黄鹤楼,1包,包,3,0.00,0.00,16.00,48.00,48.00,100%
"  ","  ","  ",500722,红黄鹤楼,20只,包,1,0.00,0.00,23.00,23.00,23.00,100%
"  ","  ","  ",1127,青爱喜香烟0.5MG,1包,包,1,5.60,5.60,8.00,8.00,2.40,0.30%
"  ","  ","  ",1154,盒白沙,1包,包,1,4.76,4.76,6.00,6.00,1.24,0.21%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,125.64,"  ",470.00,344.36,73.27%
"  ","  ","  ","  ","  ","  ",总进价,372.13,总差价,1330.06,总毛利率,78.14%,总计,1702.19
